3780646;1203417
3778205;1202640
3777096;1202287
3776031;1201948
3774633;1201503
3772858;1200938
3771460;1200493
3769663;1199921
3768221;1199462
3767533;1199243
3766801;1199010
3766091;1198784
3765758;1198678
3765070;1198459
3761498;1197322
3761121;1197202
3759368;1196644
3759035;1196538
3758636;1196411
3757926;1196185
3756861;1195846
3754753;1195175
3754420;1195069
3753710;1194843
3753355;1194730
3753000;1194617
3752645;1194504
3752290;1194391
3751891;1194264
3749450;1193487
3749051;1193360
3747298;1192802
3746211;1192456
3743038;1191446
3741973;1191107
3740575;1190662
3738423;1189977
3738068;1189864
3734518;1188734
3734163;1188621
3731301;1187710
3730258;1187378
3729193;1187039
3727063;1186361
3724955;1185690
3722803;1185005
3718188;1183536
3717811;1183416
3716790;1183091
3716413;1182971
3716058;1182858
3715725;1182752
3711820;1181509
3711443;1181389
3707893;1180259
3695823;1176417
3691585;1175068
3689455;1174390
3686238;1173366
3682355;1172130
3682000;1172017
3681645;1171904
3681290;1171791
3677762;1170668
3677385;1170548
3674567;1169651
3672437;1168973
3672060;1168853
3671683;1168733
3670307;1168295
3669930;1168175
3669553;1168055
3668133;1167603
3666003;1166925
3664627;1166487
3663540;1166141
3662808;1165908
3662142;1165696
3660700;1165237
3660345;1165124
3659968;1165004
3657860;1164333
3657483;1164213
3657128;1164100
3656773;1163987
3654998;1163422
3652557;1162645
3651470;1162299
3643660;1159813
3642617;1159481
3641530;1159135
3639733;1158563
3637647;1157899
3633010;1156423
3632655;1156310
3631967;1156091
3628750;1155067
3627663;1154721
3626620;1154389
3625178;1153930
3623403;1153365
3611732;1149650
3611355;1149530
3607472;1148294
3606740;1148061
3604277;1147277
3603922;1147164
3603545;1147044
3603212;1146938
3602480;1146705
3600727;1146147
3596800;1144897
3596445;1144784
3593982;1144000
3590432;1142870
3590055;1142750
3588657;1142305
3588302;1142192
3586882;1141740
3586505;1141620
3586150;1141507
3584375;1140942
3580492;1139706
3578362;1139028
3577630;1138795
3576942;1138576
3575500;1138117
3571617;1136881
3570219;1136436
3569842;1136316
3567734;1135645
3566980;1135405
3566669;1135306
3566270;1135179
3564850;1134727
3563474;1134289
3563119;1134176
3559170;1132919
3558504;1132707
3557395;1132354
3557084;1132255
3553867;1131231
3552780;1130885
3551382;1130440
3550339;1130108
3549962;1129988
3547832;1129310
3547477;1129197
3547144;1129091
3546390;1128851
3544659;1128300
3543905;1128060
3538580;1126365
3538269;1126266
3537204;1125927
3533610;1124783
3531857;1124225
3530104;1123667
